step,COV-R(%),MAT-R(A),method
20,0.681,0.470,SubGDiff
30,0.721,0.444,SubGDiff
40,0.776,0.405,SubGDiff
50,0.768,0.389,SubGDiff
60,0.781,0.374,SubGDiff
70,0.801,0.371,SubGDiff
80,0.812,0.365,SubGDiff
90,0.831,0.343,SubGDiff
100,0.836,0.325,SubGDiff
20,0.759,0.406,SSD-SubGDiff
30,0.792,0.384,SSD-SubGDiff
40,0.825,0.352,SSD-SubGDiff
50,0.838,0.336,SSD-SubGDiff
60,0.849,0.325,SSD-SubGDiff
70,0.854,0.271,SSD-SubGDiff
80,0.874,0.265,SSD-SubGDiff
90,0.919,0.259,SSD-SubGDiff
100,0.932,0.238,SSD-SubGDiff
